Company Name,Ticker,Next EPS Report Date ,# of Analysts in Q0 Consensus,Avg Volume,Q0 Consensus Est. (last completed fiscal Qtr),Market Cap ,Optionable,Earnings ESP,Zacks Rank
"Bemis Company, Inc.","BMS","20180125","6","435210.06",".62","4327.77","YES","","4"
"Bristol-Myers Squibb Company","BMY","20180205","10","5022324",".67","102801.13","YES","-1.49","4"
"Benefitfocus, Inc.","BNFT","20180222","7","152430.16","-.06","805.28","YES","","3"
"Bank of Nova Scotia (The)","BNS","20180227","4","485974","1.32","78921.46","YES","","4"
"BofI Holding, Inc.","BOFI","20180130","5","633409.88",".53","2009.62","YES","13.21","1"
"Bank of Hawaii Corporation","BOH","20180122","4","193422.34","1.09","3764.49","YES","-1.83","2"
"Bojangles', Inc.","BOJA","20180306","8","432452.69",".18","470.78","YES","0","3"
"BOK Financial Corporation","BOKF","20180124","7","145680.59","1.32","6267.51","YES",".76","2"
"Audentes Therapeutics, Inc.","BOLD","20180308","7","406480.56","-.92","1118.67","YES","-1.09","3"
"Boot Barn Holdings, Inc.","BOOT","20180131","4","365097.56",".44","513.34","YES","0","2"
"Box, Inc.","BOX","20180307","8","1585764.38","-.13","3029.14","YES","","3"
"BP p.l.c.","BP","20180206","3","3724531.25",".5","145327.61","YES","","3"
"Boston Private Financial Holdings, Inc.","BPFH","20180117","4","391874.5",".23","1331.01","YES","0","3"
"Buckeye Partners L.P.","BPL","20180209","6","767572.25",".88","7927.57","YES","9.09","5"
"Blueprint Medicines Corporation","BPMC","20180308","5","417303.5","-1.07","3398.05","YES","5.61","2"
"BP Midstream Partners LP","BPMP","","3","302900.34",".28","2222.79","NO","0","3"
"Broadridge Financial Solutions, Inc.","BR","20180214","3","381407.66",".58","10960.55","YES","","3"
"Brady Corporation","BRC","20180222","5","142052.16",".48","2008.18","YES","","3"
"Bluerock Residential Growth REIT, Inc.","BRG","20180215","3","331118.06",".04","225.38","YES","","4"
"Bruker Corporation","BRKR","20180212","9","412789.34",".49","5440.04","YES","-2.04","3"
"Brooks Automation, Inc.","BRKS","20180207","3","739151.5",".29","1832.51","YES","","3"
"Brown & Brown, Inc.","BRO","20180122","8","409194.41",".42","7307.56","YES","","1"
"Brixmor Property Group Inc.","BRX","20180212","9","2210549",".5","5132.09","YES","","5"
"Banco Santander Chile","BSAC","20180130","3","516160.31",".45","15890.71","YES","","3"
"Banco Santander Brasil SA","BSBR","20180130","3","1176954",".18","37820.46","YES","","3"
"BroadSoft, Inc.","BSFT","20180222","5","815541.56","1.37","1742.91","YES","","3"
"Grupo Financiero Santander Mexico S.A. B. de C.V.","BSMX","20180126","3","2118111.5",".2","5109.37","YES","","2"
"BEST, Inc. Sponsored ADR","BSTI","","3","764089","-.12","3406.17","YES","","3"
"Boston Scientific Corporation","BSX","20180201","13","8340705.5",".34","37707.96","YES","0","4"
"B2Gold Corp","BTG","20180315","4","3883537.25",".02","3008.87","YES","100","3"
"Peabody Energy Corporation","BTU","20180207","5","830550.94","1.31","4243.75","YES","7.63","3"
"Blue Buffalo Pet Products, Inc.","BUFF","20180227","7","942392.19",".21","6537.41","YES","","2"
"Burlington Stores, Inc.","BURL","20180301","10","907105.63",".65","8591.06","YES","","3"
"First Busey Corporation","BUSE","20180125","5","148866.91",".46","1565.07","YES","","2"
"Bazaarvoice, Inc.","BV","20180227","3","919032.31","0","474.1","YES","","2"
"BorgWarner Inc.","BWA","20180208","9","1246595.63","1.01","12066.32","YES",".99","3"
"Buffalo Wild Wings, Inc.","BWLD","20180206","12","468154.44","1.56","2434.8","YES","","3"
"Boardwalk Pipeline Partners L.P.","BWP","20180205","6","1176456.13",".41","3434.06","YES","7.32","3"
"BWX Technologies, Inc.","BWXT","20180226","5","412558.69",".48","6251.52","YES","-6.25","2"
"The Blackstone Group L.P.","BX","20180201","6","4219111",".69","22321.04","YES","-2.9","3"
"Bluegreen Vacations Corporation","BXG","","3","78313",".09","1337.74","NO","","3"
"Capital Trust, Inc.","BXMT","20180213","5","748709.13",".62","3339.96","YES","-5.45","3"
"Boston Properties, Inc.","BXP","20180130","11","824556.06","1.51","18878.21","YES","-2.65","3"
"BancorpSouth, Inc.","BXS","20180124","5","564691.88",".41","3120.9","YES","","2"
"Byline Bancorp, Inc.","BY","20180125","3","87442.8",".24","675.66","NO","","2"
"Boyd Gaming Corporation","BYD","20180213","6","1138597.25",".24","4103.02","YES","-8.33","2"
"Citigroup Inc.","C","20180116","7","13802941","1.19","203165.09","YES","0","3"
"CA Inc.","CA","20180130","5","1600190.25",".6","14268.13","YES","","3"
"CalAtlantic Group, Inc.","CAA","20180214","8","1389661.75","1.31","7198.03","YES","-4.58","2"
"Cable One, Inc.","CABO","20180227","4","35984.05","5.87","4091.65","NO","","4"
"Credit Acceptance Corporation","CACC","20180130","5","147178.09","5.27","6584.52","YES","","1"
"CACI International, Inc.","CACI","20180131","9","95269.75","1.65","3381.69","YES","-2.42","1"
"Cadence Bancorp","CADE","20180124","4","459477.59",".37","2355.72","NO","","2"
"CAE Inc","CAE","20180213","3","224974.55",".22","5030.57","NO","","3"
"8point3 Energy Partners LP","CAFD","20180125","8","159947.66",".08","1208.36","YES","25","3"
"Conagra Brands Inc.","CAG","20180322","6","3042091.5",".52","14708.27","YES","0","3"
"Cardinal Health, Inc.","CAH","20180206","10","2805656.5","1.13","22491.04","YES","-2.65","3"
"CAI International, Inc.","CAI","20180213","3","240615.09",".85","584.59","YES","","3"
"The Cheesecake Factory Incorporated","CAKE","20180228","11","920182",".53","2205.92","YES","3.77","3"
"Caleres, Inc.","CAL","20180315","3","224438.5",".85","1435.5","YES","-6.82","3"
"Calithera Biosciences, Inc.","CALA","20180315","3","546880.88","-.24","303.33","YES","","3"
"Callidus Software, Inc.","CALD","20180208","9","363420.06",".11","2060.48","YES","","3"
"Calix, Inc","CALX","20180213","5","225647.95","-.13","299.85","YES","","3"
"CalAmp Corp.","CAMP","20180417","6","458446.69",".3","833.98","YES","0","5"
"CrossAmerica Partners LP","CAPL","20180227","4","43291.05",".06","821.08","YES","33.33","4"
"Avis Budget Group, Inc.","CAR","20180221","4","1939214.63",".19","4001.89","YES","","4"
"Cara Therapeutics, Inc.","CARA","20180308","3","935152.38","-.39","413.8","YES","","4"
"Carbonite, Inc.","CARB","20180208","5","198478.59",".29","726.62","YES","","3"
"CASA SYSTEMS","CASA","","5","387774.56",".34","1642.79","NO","0","3"
"Caseys General Stores, Inc.","CASY","20180305","7","498709.56","1.38","4665.21","YES","0","4"
"Caterpillar, Inc.","CAT","20180125","8","3693346.75","1.74","101317.27","YES","9.25","2"
"Cardtronics PLC","CATM","20180208","8","529115.75",".62","989.91","YES","-10.91","3"
"Cathay General Bancorp","CATY","20180130","4","320364.66",".63","3612.65","YES","","2"
"Cavium, Inc.","CAVM","20180207","9","947753",".81","6223.35","YES","","4"
"D/B/A Chubb Limited New","CB","20180130","6","1472711","2.36","67609.29","YES","8.05","3"
"CymaBay Therapeutics Inc.","CBAY","20180322","5","532734.38","-.12","437.32","YES","","3"
"Cincinnati Bell Inc","CBB","20180221","3","265541.81","0","793.1","YES","","4"
"CBRE Group, Inc.","CBG","20180208","3","1778600.38",".93","15238.32","YES","-2.15","2"
"Chicago Bridge & Iron Company N.V.","CBI","20180227","5","4743336",".46","1924.55","YES","2.17","5"
"CBL & Associates Properties, Inc.","CBL","20180208","9","3886024.75",".58","973.57","YES","-1.72","5"
"CBOE Holdings, Inc.","CBOE","20180209","6","1005220.69",".88","14920.86","YES","-1.14","1"
"Continental Building Products, Inc.","CBPX","20180222","4","183951.45",".31","1095.62","YES","-9.38","4"
"Cracker Barrel Old Country Store, Inc.","CBRL","20180220","3","217450.2","1.86","4132.54","YES","6.64","2"
"CBS Corporation","CBS","20180221","29","3314309","1.18","23542.47","YES","-.85","3"
"Commerce Bancshares, Inc.","CBSH","20180118","8","439434.16",".69","6184.08","YES","-2.9","1"
"Cabot Corporation","CBT","20180207","6","449315.75",".79","4165.52","YES","","3"
"Community Bank System, Inc.","CBU","20180122","3","245542.8",".69","2815.38","YES","","2"
"Coca-Cola European Partners PLC","CCE","20180320","4","937912",".55","18789.18","YES","1.82","2"
"Crown Castle International Corporation","CCI","20180124","6","1780449.75","1.06","42077.9","YES","","4"
"Crown Holdings, Inc.","CCK","20180207","6","2269046.5",".79","7801.26","YES","","3"
"Carnival Corporation","CCL","20180327","8","2869347.5",".5","37342.41","YES","0","3"
"CSI Compressco LP","CCLP","20180227","4","152538.09","-.24","253.46","YES","","4"
"Cogent Communications Holdings, Inc.","CCOI","20180222","10","278968.81",".12","2081.76","YES","","2"
"CNX Coal Resources LP","CCR","20180206","4","22611.6",".47","437.04","NO","","3"
"Century Communities, Inc.","CCS","20180213","4","351186.41",".64","962.3","YES","","1"
"Coeur Mining, Inc.","CDE","20180207","3","2528214.25",".04","1587.22","YES","0","5"
"CENTENNIAL RES","CDEV","20180205","6","1347822.75",".1","5597.73","YES","20","3"
"CDK Global, Inc.","CDK","20180201","5","979663.81",".7","10421.25","YES","1.43","3"
"Cadence Design Systems, Inc.","CDNS","20180131","4","2398704.5",".39","12725.96","YES","","3"
"Condor Hospitality Trust, Inc.","CDOR","20180307","4","19075.7",".2","123.67","NO","","3"
"Cedar Realty Trust, Inc.","CDR","20180222","5","783900.13",".14","485.81","YES","0","2"
"Cidara Therapeutics, Inc.","CDTX","20180321","4","77941.65","-.73","152.8","NO","","3"
"CDW Corporation","CDW","20180206","7","619943.06",".98","11155.23","YES","","4"
"Codexis, Inc.","CDXS","20180308","3","270978.66",".05","435.12","YES","","3"
"Celanese Corporation","CE","20180207","9","432897.59","1.84","15101.71","YES","","3"
"Consol Energy Inc.","CEIX","","4","575531",".7","980.28","YES","","3"
"Celgene Corporation","CELG","20180125","14","5918223","1.92","83455.6","YES","1.71","3"
"Century Aluminum Company","CENX","20180222","3","1975892",".25","1898.49","YES","0","4"
"Crestwood Equity Partners LP","CEQP","20180220","3","260942.59",".02","1890.83","YES","-150","3"
"Cerner Corporation","CERN","20180206","14","1481388.75",".61","24233.05","YES","0","2"
"CEVA, Inc.","CEVA","20180206","3","132156.25",".24","1019.64","YES","","3"
"CF Industries Holdings, Inc.","CF","20180221","6","2600601","-.11","10151.47","YES","-45.45","4"
"Citizens Financial Group, Inc.","CFG","20180119","9","3993874.75",".67","22395.43","YES","0","2"
"ConforMIS, Inc.","CFMS","20180207","5","422378.25","-.3","118.21","YES","","3"
"Cullen/Frost Bankers, Inc.","CFR","20180124","9","330580.34","1.39","6373.25","YES","0","2"
"ContraFect Corporation","CFRX","20180321","3","170358.05","-.1","87.65","NO","",""
"Colfax Corporation","CFX","20180201","9","731330.06",".46","5141.32","YES","-2.17","2"
"The Carlyle Group L.P.","CG","20180207","6","528801.38",".47","2474.49","YES","10.64","3"
"TCG BDC, Inc.","CGBD","20180206","3","255470.91",".4","1148.98","YES","","4"
"Cognex Corporation","CGNX","20180215","4","1336269.5",".25","11760.18","YES","0","4"
"Community Healthcare Trust Incorporated","CHCT","20180222","3","364019.91",".36","465.35","NO","-8.33","3"
"Church & Dwight Company, Inc.","CHD","20180205","12","1537497.75",".5","12251.32","YES","0","2"
"Chemical Financial Corporation","CHFC","20180123","4","356805.25",".82","4005.39","YES","","2"
"Chegg, Inc.","CHGG","20180212","7","641062.5",".13","1815.32","YES","","3"
"Choice Hotels International, Inc.","CHH","20180221","6","194762.09",".63","4558.65","YES","1.59","2"
"Chesapeake Energy Corporation","CHK","20180222","9","27120906",".24","3889.18","YES","-16.67","3"
"Check Point Software Technologies Ltd.","CHKP","20180131","16","992673.81","1.51","16834.63","YES","","4"
"C.H. Robinson Worldwide, Inc.","CHRW","20180130","10","1115296",".85","13171.39","YES","-1.18","3"
"Chico's FAS, Inc.","CHS","20180228","8","2552131.5",".13","1261.44","YES","0","3"
"Chesapeake Lodging Trust","CHSP","20180228","7","383159.19",".5","1645.35","YES","0","4"
"Charter Communications, Inc.","CHTR","20180215","14","1522072.13",".89","88007.94","YES","15.73","3"
"CommerceHub, Inc.","CHUBA","20180221","8","110999.6",".25","928.67","NO","","4"
"Chuy's Holdings, Inc.","CHUY","20180227","6","180434.34",".2","472.75","YES","","3"
"Cigna Corporation","CI","20180201","10","1111025.13","1.87","52611.3","YES","","2"
"BanColombia S.A.","CIB","20180220","3","199900.41",".86","10255.62","NO","","5"
"Ciena Corporation","CIEN","20180314","12","2202915.25",".5","3152.34","YES","","5"
"CIRCOR International, Inc.","CIR","20180215","3","81063.9",".48","865.15","YES","","3"
"CIT Group Inc (DEL)","CIT","20180130","3","787878.38",".82","6984.29","YES","3.66","2"
"Civitas Solutions, Inc.","CIVI","20180208","3","84126.2",".16","651.49","YES","0","5"
"C&J Energy Services, Inc.","CJ","20180208","5","514684.84",".26","2466.03","YES","0","2"
"Colgate-Palmolive Company","CL","20180126","10","2407324.5",".75","65524.2","YES","0","3"
"Core Laboratories N.V.","CLB","20180131","4","378175.09",".58","5257.91","YES","","3"
"Cloud Peak Energy Inc","CLD","20180221","5","1249638.63","-.01","417.04","YES","-400","1"
"Cloudera, Inc.","CLDR","20180301","5","1797001.38","-.24","2561.97","YES","","2"
"Chatham Lodging Trust (REIT)","CLDT","20180228","3","438361.94",".38","1025.43","YES","","5"
"Celldex Therapeutics, Inc.","CLDX","20180313","4","1066175.88","-.23","380.76","YES","-47.83","2"
"Cliffs Natural Resources Inc.","CLF","20180125","4","10451300",".17","2573.71","YES","-5.88","3"
"CoreLogic, Inc.","CLGX","20180228","7","414040",".51","3855.93","YES","","4"
"Clean Harbors, Inc.","CLH","20180228","4","290330.81",".05","3162.63","YES","","3"
"Mack-Cali Realty Corporation","CLI","20180227","5","557654.56",".54","1864.82","YES","-3.7","4"
"Cellectis S.A.","CLLS","20180305","3","152087.41","-.64","1053.41","YES","7.81","3"
"Continental Resources, Inc.","CLR","20180228","14","1624829.13",".25","21634.55","YES","16","1"
"Celestica, Inc.","CLS","20180125","3","511734.16",".3","1388.45","YES","","3"
"Clearside Biomedical, Inc.","CLSD","20180313","4","158559.34","-.7","160.92","YES","","3"
"Clovis Oncology, Inc.","CLVS","20180228","7","1022472.19","-1.28","2892.38","YES","7.03","3"
"Clorox Company (The)","CLX","20180202","7","607684.5","1.22","18175.24","YES","1.64","2"
"Canadian Imperial Bank of Commerce","CM","20180222","4","359896.66","2.05","43326.72","YES","","3"
"Comerica Incorporated","CMA","20180116","11","1327927.25","1.21","16181.05","YES","0","1"
"Commercial Metals Company","CMC","20180322","5","2213785.75",".19","2934.46","YES","0","3"
"Comcast Corporation","CMCSA","20180124","17","17985848",".47","198354.83","YES","0","3"
"CME Group Inc.","CME","20180201","6","1151812","1.11","51793.03","YES","-.9","2"
"Chipotle Mexican Grill, Inc.","CMG","20180206","15","968457.63","1.35","9241.79","YES","-16.3","3"
"Cummins Inc.","CMI","20180206","10","938645.13","2.61","30567.8","YES","-6.51","3"
"Compass Minerals International, Inc.","CMP","20180214","3","320062.41","1.54","2553.94","YES","","3"
"Costamare Inc.","CMRE","20180125","5","536107.56",".16","679.79","YES","-18.75","4"
"Chimerix, Inc.","CMRX","20180301","5","378632.31","-.49","231.87","YES","","3"
"CMS Energy Corporation","CMS","20180201","5","1760573.75",".51","12411.39","YES","1.96","4"
"Comtech Telecommunications Corp.","CMTL","20180314","3","171296.25","-.29","518.9","YES","","2"
"CNA Financial Corporation","CNA","20180205","3","168847.66",".76","14573.05","YES","7.89","1"
"Conatus Pharmaceuticals Inc.","CNAT","20180321","4","333052","-.17","140.72","YES","","3"
"Centene Corporation","CNC","20180206","11","1275519.75",".94","18892.53","YES","1.06","1"
"Conduent Inc.","CNDT","20180228","4","1816571",".26","3557.48","YES","","3"
"CNH Industrial N.V.","CNHI","20180130","6","1486905.25",".14","20359.7","YES","7.14","3"
"Canadian National Railway Company","CNI","20180123","10","792615.69",".97","60404.25","YES","-1.03","3"
"Cinemark Holdings Inc","CNK","20180222","6","1072879.25",".49","4113.61","YES","-4.08","3"
"CONMED Corporation","CNMD","20180207","4","126624.55",".65","1577.71","YES","","2"
"CNO Financial Group, Inc.","CNO","20180206","3","740481.63",".41","4376.91","YES","","2"
"CenterPoint Energy, Inc.","CNP","20180227","5","2720532.5",".3","11797.4","YES","10","3"
"Canadian Natural Resources Limited","CNQ","20180301","5","1742714.38",".29","45241.72","YES","","2"
"Consolidated Communications Holdings, Inc.","CNSL","20180222","3","1171973.75","0","899.62","YES","","3"
"Century Casinos, Inc.","CNTY","20180309","3","145201.55",".07","272.86","YES","-14.29","4"
"CNX Resources Corporation.","CNX","20180130","3","2726330.75","-.04","3408.18","YES","0","5"
"Cone Midstream Partners LP","CNXM","20180215","3","145588.3",".41","690.59","YES","","3"
"CoBiz Financial Inc.","COBZ","20180125","3","88716.75",".27","904.21","YES","","2"
"Compass Diversified Holdings","CODI","20180307","6","184007.09",".44","1048.25","YES","","5"
"Capital One Financial Corporation","COF","20180123","11","1842382.63","1.85","51106.56","YES","0","3"
"Cabot Oil & Gas Corporation","COG","20180223","10","4321389",".13","13357.23","YES","0","1"
"Cohu, Inc.","COHU","20180215","3","205023.25",".31","651.47","YES","","3"
"Rockwell Collins, Inc.","COL","20180126","8","930381.19","1.55","22575.73","YES","","3"
"Columbia Banking System, Inc.","COLB","20180125","3","273304.94",".56","3360.33","YES","","1"
"Collegium Pharmaceutical, Inc.","COLL","20180308","5","354849.31","-.55","651.89","YES","","2"
"Columbia Sportswear Company","COLM","20180208","9","194876.5","1.11","5135.89","YES","4.5","3"
"CommScope Holding Company, Inc.","COMM","20180222","6","1192005.13",".47","7434","YES","","3"
"CyrusOne Inc","CONE","20180228","11","806281.69",".81","5045.73","YES","-3.7","4"
"Conn's, Inc.","CONN","20180403","4","460816.91",".04","1165.43","YES","","1"
"Cooper Companies, Inc. (The)","COO","20180301","11","409957.91","2.66","11299.39","YES","1.2","3"
"ConocoPhillips","COP","20180201","7","4788595.5",".42","71790.73","YES","2.38","1"
"CoreSite Realty Corporation","COR","20180208","11","288694.41","1.14","3618.35","YES","-1.75","3"
"Core-Mark Holding Company, Inc.","CORE","20180307","3","406965.41",".34","1142.3","YES","0","5"
"CorEnergy Infrastructure Trust, Inc.","CORR","20180307","3","88139.3","1.03","458.38","YES","","3"
