"Texas Instruments Incorporated","TXN","20180123","13","4117048","1.09","111092.44","YES","","3","TXN","Texas Instrumen...","111,092","amc","1.09","--","NA","--","",
"UMB Financial Corporation","UMBF","20180123","3","192024.59",".89","3793.88","YES","-7.87","2","UMBF","Umb Financial C...","3,794","amc","0.89","--","-7.87%","--","",
"Umpqua Holdings Corporation","UMPQ","20180123","7","1484924",".3","4933.2","YES","16.67","2","UMPQ","Umpqua Holdings...","4,933","amc","0.30","--","16.67%","--","",
"Union Pacific Corporation","UNP","20180125","9","4539918.5","1.54","111124.65","YES","-.65","2","UNP","Union Pacific C...","111,125","bmo","1.54","--","-0.65%","--","",
"United Technologies Corporation","UTX","20180124","9","3121411.75","1.56","109068.7","YES","","3","UTX","United Technolo...","109,069","bmo","1.56","--","NA","--","",
"Meridian Bioscience Inc.","VIVO","20180124","3","249124.5",".14","647.31","YES","","2","VIVO","Meridian Biosci...","647","--","0.14","--","NA","--","",
"Valley National Bancorp","VLY","20180125","4","2300194",".17","3222.67","YES","","2","VLY","Valley National...","3,223","bmo","0.17","--","NA","--","",
"Venator Materials PLC","VNTR","20180126","4","783724.69",".68","2541.23","YES","","3","VNTR","Venator Materia...","2,541","--","0.68","--","NA","--",""﻿"Symbol","Company","Market Cap(M)","Time","Estimate","Reported","ESP","Price Change","Report",
"Verizon Communications Inc.","VZ","20180123","18","12298914",".88","211559.81","YES","0","3","VZ","Verizon Communi...","211,560","bmo","0.88","--","NA","--","",
"Western Alliance Bancorporation","WAL","20180125","6","450017.81",".82","6247.12","YES","2.44","2","WAL","Western Allianc...","6,247","amc","0.82","--","2.44%","--","",
"Waters Corporation","WAT","20180123","11","306138.41","2.44","16682.05","YES",".82","3","WAT","Waters Corporat...","16,682","bmo","2.44","--","0.82%","--","",
"Webster Financial Corporation","WBS","20180123","8","575054.88",".67","5904.38","YES","1.49","2","WBS","Webster Financi...","5,904","bmo","0.67","--","1.49%","--","",
"Western Digital Corporation","WDC","20180125","7","3544933.5","3.77","24585.81","YES","1.16","1","WDC","Western Digital...","24,586","amc","3.77","--","1.16%","--","",
"Whirlpool Corporation","WHR","20180125","4","648514.88","4.01","12414.33","YES","-1.5","4","WHR","Whirlpool Corpo...","12,414","amc","4.01","--","-1.50%","--","",
"Wintrust Financial Corporation","WTFC","20180122","7","354112.31","1.14","4892.7","YES",".88","2","WTFC","Wintrust Financ...","4,893","amc","1.14","--","0.88%","--","",
"Zions Bancorporation","ZION","20180122","13","1623349.38",".73","10642.36","YES","0","2","ZION","Zions Bancorpor...","10,642","amc","0.73","--","NA","--",""﻿"Symbol","Company","Market Cap(M)","Time","Estimate","Reported","ESP","Price Change","Report",
